"last_name, first_name","player_id","year","pa","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","xba","xslg","woba","xwoba","xobp","avg_swing_speed","fast_swing_rate","blasts_contact","blasts_swing","squared_up_contact","squared_up_swing","avg_swing_length","swords","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Calhoun, Kole","594777","2020","228",21.9,12.3,".226",".526",".338","0.864",".263",".517",".362",".379",".370",,,,,,,,,"89.4","17",36.1,11.8,38.2,"99.503862113","93.982617872",32.7,46.8
"Duvall, Adam","594807","2020","209",25.8,7.2,".237",".532",".301","0.833",".228",".516",".348",".342",".294",,,,,,,,,"88.1","22.9",30.7,13.9,40.1,"100.670608824","94.472182941",27.1,49
"Profar, Jurickson","595777","2020","202",13.9,7.4,".278",".428",".343","0.771",".282",".411",".335",".338",".350",,,,,,,,,"87.2","11",35.5,3.2,27.7,"96.940536711","92.4870825",20.1,47.1
"Báez, Javier","595879","2020","235",31.9,3,".203",".360",".238","0.598",".213",".380",".256",".275",".251",,,,,,,,,"89.4","10.3",24.8,8.1,40.3,"101.31207375","94.809897708",37.8,53.2
"Lindor, Francisco","596019","2020","266",15.4,9,".258",".415",".335","0.750",".279",".441",".324",".346",".356",,,,,,,,,"89.9","13.5",36.5,5.6,41.1,"99.684694433","94.059685052",20.3,48.9
"Story, Trevor","596115","2020","259",24.3,9.3,".289",".519",".355","0.874",".253",".457",".370",".335",".323",,,,,,,,,"89.9","20.8",40.1,8.7,41.3,"100.396057209","94.467090526",25.7,45.8
"Kepler, Max","596146","2020","196",18.4,11.2,".228",".439",".321","0.760",".258",".425",".328",".340",".349",,,,,,,,,"88.5","22.2",30.9,5.1,38.2,"99.204226765","93.676104222",21.2,44.8
"Franco, Maikel","596748","2020","243",15.6,6.6,".278",".457",".321","0.778",".256",".398",".329",".307",".305",,,,,,,,,"86.7","8.4",33.3,5.8,38.6,"100.224684468","94.175420214",24.6,49.9
"Bradley Jr., Jackie","598265","2020","217",22.1,10.6,".283",".450",".364","0.814",".220",".368",".352",".301",".311",,,,,,,,,"88.4","4.3",28.5,7.6,36.4,"98.602853571","93.472785429",25.9,45.3
"La Stella, Tommy","600303","2020","228",5.3,11.8,".281",".449",".370","0.819",".275",".423",".355",".348",".366",,,,,,,,,"88","17.1",32.1,4.8,28.3,"96.273957849","92.214603892",11.2,38.1
"Núñez, Renato","600524","2020","216",29.6,7.9,".256",".492",".324","0.816",".227",".431",".347",".315",".298",,,,,,,,,"86.3","21.1",37.9,12.1,36.4,"98.851627273","93.444118636",30.1,52.1
"Candelario, Jeimer","600869","2020","206",23.8,9.7,".297",".503",".369","0.872",".277",".471",".373",".356",".351",,,,,,,,,"90.2","13.3",37.5,10.3,47.1,"101.954374925","95.267632164",27.6,45
"Ahmed, Nick","605113","2020","217",21.2,8.3,".266",".402",".327","0.729",".247",".377",".318",".304",".310",,,,,,,,,"87.7","9.4",30.1,5.2,33.3,"97.979172667","93.079952",27.4,48.2
"Anderson, Brian","605119","2020","229",28.8,9.6,".255",".465",".345","0.810",".227",".426",".348",".324",".321",,,,,,,,,"87.4","9.6",34.8,9.6,39.3,"99.102413382","93.651971037",34.4,49.1
"Bell, Josh","605137","2020","223",26.5,9.9,".226",".364",".305","0.669",".228",".381",".286",".297",".308",,,,,,,,,"91.7","5.9",24.3,8.6,42.9,"102.09961","95.3740285",33.6,45.9
"Betts, Mookie","605141","2020","246",15.4,9.8,".292",".562",".366","0.928",".283",".485",".390",".362",".359",,,,,,,,,"90.7","18.5",40.1,7.7,43.4,"99.966803556","94.311948056",13.8,40.5
"Davis, J.D.","605204","2020","229",24.5,13.5,".247",".389",".371","0.760",".252",".424",".339",".355",".376",,,,,,,,,"90.1","3.3",29.6,8.9,45.2,"102.105949851","95.319305299",29.3,44.9
"Arcia, Orlando","606115","2020","189",16.9,7.4,".260",".416",".317","0.733",".281",".428",".317",".338",".339",,,,,,,,,"89","9.6",37.3,5.6,38.7,"99.346351","93.890230143",23.1,46.8
"Tapia, Raimel","606132","2020","206",18.4,6.8,".321",".402",".369","0.771",".244",".325",".338",".285",".305",,,,,,,,,"85.3","1.8",28.7,2,30,"96.593740405","92.307061689",18.7,51.1
"Hernández, Teoscar","606192","2020","207",30.4,6.8,".289",".579",".340","0.919",".296",".614",".384",".401",".346",,,,,,,,,"93.3","15.3",40.6,18,53.1,"104.846097031","97.246447559",34.9,46.4
"Marte, Ketel","606466","2020","195",10.8,3.6,".287",".409",".323","0.732",".265",".381",".316",".306",".309",,,,,,,,,"89.2","10",28.8,3.7,40.5,"100.204872785","94.245687975",14.1,45
"Nimmo, Brandon","607043","2020","225",19.1,14.7,".280",".484",".404","0.888",".250",".423",".387",".359",".381",,,,,,,,,"87.2","7.6",30.8,7.7,32.9,"97.980723714","93.071893214",21.6,41.6
"Turner, Trea","607208","2020","259",13.9,8.5,".335",".588",".394","0.982",".303",".515",".413",".383",".369",,,,,,,,,"90.5","9.5",34.2,9.5,40.7,"100.635350612","94.552732551",19.6,46.9
"Pillar, Kevin","607680","2020","223",18.4,5.8,".288",".462",".336","0.798",".272",".435",".341",".328",".322",,,,,,,,,"87.1","13.4",34.7,5.4,36.5,"98.092420244","93.134598773",25.3,51.9
"Ramírez, José","608070","2020","254",16.9,12.2,".292",".607",".386","0.993",".264",".507",".415",".373",".362",,,,,,,,,"88.7","23.2",36.7,10.2,35.6,"99.264116591","93.668352686",16.6,41.4
"Gallo, Joey","608336","2020","226",35,12.8,".181",".378",".301","0.679",".189",".415",".297",".315",".308",,,,,,,,,"91.2","26.8",28.9,14,43.9,"102.04771537","95.481172685",37.4,43.6
